latin,dhivehi
Champions league final gai kulhey team thakaa eku dhandah erumuge furusathu,ޗެންޕިއަންސް ލީގު ފައިނަލުގައި ކުޅޭ ޓީމްތަކާ އެކު ދަނޑަށް އެރުމުގެ ފުރުސަތު
tharaggee akee siyaasee kameh noon: Raees,ސިޔާސީ ފިކުރު މުހިންމެއް ނޫން، ތަރައްގީއަކީ ސިޔާސީ ކަމެއް ނޫން: ރައީސް
Hospital in bunanee Netanyahu ge haalu rangalhu kamah,ހޮސްޕިޓަލުން ބުނަނީ ނަތަންޔާހޫގެ ހާލު ރަނގަޅު ކަމަށް
Aqsa thoofaan: Komme 5 minute akun shaheedheh,އަގްސާ ތޫފާން: ކޮންމެ ފަސް މިނެޓަކުން ޝަހީދެއް
House of the Dragon ge 3 vana season ge masakkaiy fashaifi,"""ހައުސް އޮފް ދަ ޑްރެގަން""ގެ ތިންވަނަ ސީޒަންގެ މަސައްކަތް ފަށައިފި"
Kiyavaa kudhinnaai ekani ulhey meehunah hadhaa imaaraathuge structure ge masakkaiy nimijje,ކިޔަވާ ކުދިންނާއި އެކަނި އުޅޭ މީހުންނަށް ހަދާ އިމާރާތުގެ ސްޓްރަކްޗާގެ މަސައްކަތް ނިމިއްޖެ
Nuclear agency ge mandhoobun ge hudhdha Iran in baathilu koffi,ނިއުކްލިއާ އޭޖެންސީގެ މަންދޫބުންގެ ހުއްދަ އީރާނުން ބާތިލުކޮށްފި
Nurakkatheri chemical gudhankuraa 31 thanaai chemical vikkaa 24 fihaara Male gai!,ނުރައްކާތެރި ކެމިކަލް ގުދަންކުރާ 31 ތަނަކާއި ކެމިކަލް ވިއްކާ 24 ފިހާރަ މާލޭގައި!
Dheema aai Shaffan ah bronze,ޓީޓީ އަށް ބޮޑު ކާމިޔާބެއް، މުންސިފާއި ރަފާ އަށް ރަން މެޑަލް، ދީމާ އާއި ޝައްފާނަށް ބްރޯންޒް
MDP ge evvumugai dhekki vaahakathakaa gulhey thahugeegeh hingan fulus ofeehugai neydhen: Ombudsperson Office,އެއްވުމުގައި ދެއްކި ވާހަކަތަކާ ގުޅިގެން ތަހުގީގެއް ހިންގާކަށް ނޭދެން: އޮމްބަޑްސްޕާސަންގެ އޮފީސް
samaaluvey!,ޓެލެގްރާމް ޓާސްކް ސްކޭމް ރާއްޖެއާ ހަމައަށް، ސަމާލުވޭ!
18 million ge target haasiluvi,ފަސްޓް ނެޝަނަލްގެ ރިއަލް އެސްޓޭޓް ފަންޑަށް ބޮޑު ތަރުހީބެއް، 18 މިލިއަންގެ އަމާޒަށް ވާސިލްވެއްޖެ
vaudhu vi gothah Cucurella ge isthashigan'du gai mihaaru raiy kula!,ޔޫރޯގެ ކާމިޔާބީއާ އެކު، ވައުދުވި ގޮތަށް ކުކުރެޔާގެ އިސްތަށިގަނޑުގައި ރަތްކުލަ!
Iran ge  defence ministry ah ves Israel in hamlaa dheefi,އިރާނުގެ ޑިފެންސް މިނިސްޓްރީ އަށް ވެސް އިޒްރޭލުން ހަމަލާ ދީފި
ihumaaluge serious massala thakeh,ފުޓުބޯޅަ ސްކޫލް ޕްރޮޖެކްޓް: ކޮރަޕްޝަނާއި، އިހުމާލުގެ ސީރިއަސް މައްސަލަތަކެއް
GDP  15 percent ah digital dhairaa hadhaanan: Raees,2030 ވަނަ އަހަރު ޖީޑީޕީގެ 15 ޕަސެންޓަށް ޑިޖިޓަލް ދާއިރާ ހަދާނަން: ރައީސް
Raisi ge helicopter hoadhunas haalathu rangalheh noon,"ރައިސީގެ ހެލިކޮޕްޓަރު ހޯދުނަސް ""ހާލަތު ރަނގަޅެއް ނޫން"""
School chuttee ah Eyecare in discount dhenee,ސްކޫލް ޗުއްޓީ އަށް އައިކެއާއިން ޑިސްކައުންޓް ދެނީ
Trade union thakaai vazeefaa dhey faraaiythakuge union thakuge dhaftharu gai himanan hulhuvaalaifi,ޓްރޭޑް ޔޫނިއަންތަކާއި ވަޒީފާދޭ ފަރާތްތަކުގެ ޔޫނިއަންތަކުގެ ދަފްތަރުގައި ހިމަނަން ހުޅުވާލައިފި
Hulhumale ge fithuroanu gasthah huri binn viyafaareege beynumah,ހުޅުމާލޭގެ ފިތުރޯނުގަސްތައް ހުރި ބިން ވިޔަފާރިތަކަށް
Israel rayyithun raajje ethere vun manaa kuran govaala garaaru balaigenfi,އިޒްރޭލް ރައްޔިތުން ރާއްޖެ އެތެރެވުން މަނާކުރަން ގޮވާލާ ގަރާރު މަޖިލީހުން ބަލައިގަނެފި
Noosveringe kanboduvunthakah hallu hoadhaidheyne kamuge yageen kan AG dhevvaifi,ނޫސްވެރިންގެ ކަންބޮޑުވުންތަކަށް ހައްލު ހޯދައިދޭނެ ކަމުގެ ޔަގީންކަން އޭޖީ ދެއްވައިފި
Dhirey thaketheege naslu himaayai kurumah hassa fund eh ufadhan Raajje in govaalaifi,ދިރޭތަކެތީގެ ނަސްލު ހިމާޔަތްކުރަން ހާއްސަ ފަންޑެއް އުފައްދަން ރާއްޖެއިން ގޮވާލައިފި
000 rufiya bahan fashaifi,މާލޭގައި ފިތުރު ޒަކާތުގެ ގޮތުގައި މީހަކަށް 8،000ރ. ބަހަން ފަށައިފި
11 Rashehge Grade 4 ge dharivarunnah Gaumiyyathu kiyavaidheyn fashaifi,"11 ރަށެއްގެ ގްރޭޑް ހަތަރެއްގެ ދަރިވަރުންނަށް ""ގައުމިއްޔަތު"" ކިޔަވައިދޭން ފަށައިފި"
Fazal aa Richa ge dharifulhuge photo eh,ފަޒާލް އާއި ރިޗާގެ ދަރިފުޅުގެ ފޮޓޯއެއް
Ooredoo app in recharge koggen iPhone 15 pro max eh,އުރީދޫ އެޕުން ރިޗާޖުކޮށްގެން އައިފޯން 15 ޕްރޯ މެކްސްއެއް
Hat-trick ah fahu Bruno ge raddhu hamalaa United ge owner Ratcliffe ah,ހެޓްރިކަށް ފަހު ބްރުނޯ ރައްދު ހަމަލާ ޔުނައިޓެޑްގެ އޯނަރު ރެޓްކްލިފަށް
Netanyahu ge anhenunnaa dhekolhah jinaaee thahugeegeh,ނަތަންޔާހޫގެ އަންހެނުންނާ ދެކޮޅަށް ޖިނާއީ ތަހުގީގެއް
Majileehuge raees kamuge vote kaamiyaabu kuravvaane kamuge yageenkan!,އަބްދުއްރަހީމް، މަޖިލިހުގެ ރައީސްކަމުގެ ވޯޓު ކާމިޔާބު ކުރައްވާނެ ކަމުގެ ޔަގީންކަން!
Gaza gai Eid feshumaa dhimaakoh 5 kujjaku shaheedhu kollaifi,ޣައްޒާގައި އީދު ފެށުމާ ދިމާކޮށް ފަސް ކުއްޖަކު ޝަހީދުކޮށްލައިފި
Magu block kuri ithuru Taxi driver aku hayyaru koffi,ދަތުރުފަތުރަށް ހުރަސް އެޅި އިތުރު ޓެކްސީ ޑްރައިވަރަކު ހައްޔަރުކޮށްފި
Sealife ge athun 49 million hoadhan HDC in kuri dhauva baathil koffi,ސީލައިފް އަތުން 49 މިލިއަން ހޯދަން އެޗްޑީސީން ކުރި ދައުވާ އަނބުރާ ގެންގޮސްފި
Gavaaidhaa hilaafah Dollar viyafaari kuramundhiya bidheysee aku faisaa thakaa aa eku hayyaru koffi,ގަވާއިދާ ހިލާފަށް ޑޮލަރުގެ ވިޔަފާރި ކުރަމުން ދިޔަ ބިދޭސީއަކު ފައިސާތަކާ އެކު ހައްޔަރުކޮށްފި
BML kiyavaa loan ge interest rate kudakoffi,ބީއެމްއެލް ކިޔަވާ ލޯނުގެ އިންޓްރެސްޓް ރޭޓު 2.5 ޕަސެންޓަށް ކުޑަކޮށްފި
BML in Male' ge 2 geyeh bodu agugai neelamugai vikkaalanee,މާލޭގެ ދެ ގެއެއް ނީލަމުގައި ބޭންކުން ވިއްކާލަނީ
Tax commissioner akah Zareer ayyan kuravvaifi,ޓެކްސް ކޮމިޝަނަރަކަށް ޒަރީރު އައްޔަން ކުރައްވައިފި
Beond aa eku 1500 dhivehinnah vazeefaa ge furusathu libeyne,"""ބިއޯންޑް""އާ އެކު 1500 ދިވެހިންނަށް ވަޒީފާގެ ފުރުސަތު ލިބޭނެ"
Dhauruvaa video inn fennnanee Bank akun Raajje etherekuri Dollar thakeh: Customs,ދައުރުވާ ވީޑިއޯއިން ފެންނަނީ ބޭންކަކުން ރާއްޖެ އެތެރެކުރި ޑޮލަރުތަކެއް: ކަސްޓަމްސް
Raees ge dhauvathu Afeef ah: Kuree gondi bari ah vadaigannavaa,ރައީސްގެ ދައުވަތު އަފީފަށް: ކުރީ ގޮނޑިބަރިއަށް ވަޑައިގަންނަވާ
Kureege Finance Minister Munavvaru aai Governor Naseer ah advisor kan,ކުރީގެ ފިނޭންސް މިނިސްޓަރު މުނައްވަރާއި ކުރީގެ ގަވަރުނަރު ނަސީރަށް އެޑްވައިޒަރުކަން
Biden ge kuththaa dhaiy alhaathee ganduvarun beyrukoffi,ބައިޑެންގެ ކުއްތާ ދަތްއަޅާތީ ގަނޑުވަރުން ބޭރުކޮށްފި
Minivankamah lolhumeh araafaane kamakah dhoonudheynan: Raees,މިނިވަންކަމަށް ލޮޅުމެއް އަރާފާނެ ކަމަކަށް ދޫނުދޭނަން: ރައީސް
Dhekunu Asia ge emme baaru gadha passport ge magaamu Raajje in anekkaaves dhifaau koffi,ދެކުނު އޭޝިއާގެ ބާރުގަދަ ޕާސްޕޯޓްގެ މަގާމު ރާއްޖެއިން އަނެއްކާވެސް ދިފާއުކޮށްފި
Moody's inn Rajjeyge rating dhamahattaifi,އިސްލާހީ ފިޔަވަޅުތަކަށް ބަލައި، މޫޑީސް އިން ރާއްޖޭގެ ރޭޓިން ދަމަހައްޓައިފި
Rakul aai Jackky ge kaiveneegai dhenee sihhathah rangalhu keun,ރަކުލް އާއި ޖެކީގެ ކައިވެނީގައި ދެނީ ސިއްހަތަށް ރަނގަޅު ކެއުން
Anhen kulhuntheriyakah boss dhin Spain ge FA ge raees hoonu fenah,އަންހެން ކުޅުންތެރިޔަކަށް ބޮސްދިން ސްޕޭނުގެ އެފްއޭގެ ރައީސް ހޫނު ފެނަށް
Hiley drone dhinumah avatteri gaumakun hushahelhi vahaka Ghassan dhogu kuravvaifi,ހިލޭ ޑްރޯން ދިނުމަށް އަވައްޓެރި ގައުމަކުން ހުށަހެޅި ވާހަކަ ޣައްސާން ދޮގުކުރައްވައިފި
Dhiraagu ge mobile mini series fashaifi,ދިރާގުގެ މޮބައިލް މިނީ ސީރީޒް އެކެއް ފަށައިފި
Customs ge veriakah furathama faharah anhen beyfulheh,މާނިއު މަގާމުން ވަކިކޮށް، ކަސްޓަމްސްގެ ވެރިއަކަށް ފުރަތަމަ ފަހަރަށް އަންހެން ބޭފުޅަކު އައްޔަން ކުރައްވައިފި
Air India ge boatu vetti maruvi adhadhu 279 ah,އެއާ އިންޑިއާގެ ބޯޓު ވެއްޓުނު ހާދިސާގައި މަރުވި އަދަދު 279 އަށް
Hulhumale 2 ge bandaara goathi thakugai imaaraai kureveynee 6 buriah,ހުޅުމާލެ 2 އިން ދޫކުރި ގޯތިތަކުގައި އިމާރާތް ކުރެވޭނީ ހަ ބުރިއަށް ކަމަށް ހަމަޖައްސައިފި
Umurun 130 aharugai Hajj ah,އުމުރުން 130 އަހަރުގައި ހައްޖަށް
Housing unit thah dhoo nukoggen Thulhaadhoo gai ihuthijaaju kuranee,ހައުސިން ޔުނިޓު ދޫނުކޮށްގެން ތުޅާދޫގައި އިހްތިޖާޖްކުރަނީ
Fenaka ah gellun vaathee Ice plant thah hingun huttaalaifi,ފެނަކައަށް ގެއްލުންވާތީ އައިސް ޕްލާންޓްތައް ހިންގުން ހުއްޓާލައިފި
nunimi othee 1 aharu ge musaaraige massala,އަންޗެލޮޓީ ދޫކޮށްލަން ރެއާލުން އެއްބަސް، ނުނިމި އޮތީ އެއް އަހަރުގެ މުސާރައިގެ މައްސަލަ
Akshay ge Bhoot Bangla ah Bhool Bhulaiyaa ge original cast!,"އަކްޝޭގެ ""ބޫތު ބަންގްލާ""އަށް ""ބޫލް ބުލައްޔާ""ގެ އޮރިޖިނަލް ކާސްޓް!"
Giraavaru meehunge reethikan roadhin,"ގިރާވަރު މީހުންގެ ރީތިކަން ""ރޮދިން"""
R. Zone final ge jaaga akah Joali Maldives aai Joali Being,ރ. ޒޯންގެ ފައިނަލުގެ ޖާގައަކަށް ޖޯލި މޯލްޑިވްސް އާއި ޖޯލި ބީން
MDP ge magaamakah Moosa vaadhakuran furusatheh nudhin!,އެމްޑީޕީގެ މަގާމަކަށް މޫސަ ވާދަކުރަން ފުރުސަތެއް ނުދިން!
Jana vidhaalhuvanee FAM ah ayyan kuran ulhey kameh en'gifai neiy kamah,ޖަނާ ވިދާޅުވަނީ އެފްއޭއެމަށް އައްޔަންކުރަން އުޅޭކަމެއް އެނގިފައި ނެތް ކަމަށް
Albania ge ethereygai dheenee vaki firugaa akahae kuda dhaulatheh ufahadhanee,އަލްބޭނިއާގައި ސޫފީންގެ ވަކި ފިރުގާއަކަށް ކުޑަ ދައުލަތެއް އުފައްދަނީ
Card limit uvaalumuge masakaiy dhanee kuriah: Raees,ކާޑު ލިމިޓް އުވާލުމުގެ މަސައްކަތް ދަނީ ކުރިއަށް: ރައީސް
Masveringe kanboduvuntha adu ehumah Masveringe Gunzaru fashaifi,"މަސްވެރިންގެ ކަންބޮޑުވުންތައް އަޑުއެހުމަށް ""މަސްވެރިންގެ ގުންޒަރު"" ފަށައިފި"
kinbidhoo-veymandoo causeway hageegathakah hadhaidheyne kamah,ރައީސް ވިދާޅުވީ، ކިނބިދޫ-ވޭމަންޑޫ ކޯޒްވޭ ބިލާހެއްގެ ގޮތުގައި އޮތް އޮތުން ނިމުމަކަށް ގެނެސް ހަގީގަތަށް ހަދައިދޭނެ ކަަމަށް
Cancer dhuvas: Raees edhivadaigathee dhunfathaa dhuruvaan,ކެންސަރު ދުވަސް: ރައީސް އެދިވަޑައިގަތީ ދުންފަތާ ދުރުވާން
Kareena aai Shahid ekugai fenumun ufaa vejje,ކަރީނާ އާއި ޝާހިދު އެކުގައި ފެނުމުން އުފާވެއްޖެ
Natheeja nerevey gothah verikamuge vattafaalhi badhalukuran vejje: Nazim,ނަތީޖާ ނެރެވޭ ގޮތަށް ވެރިކަމުގެ ވައްޓަފާޅި ބަދަލުކުރަންވެއްޖެ: ނާޒިމް
20 aharun dhashuge handball team ah bronze medal,20 އަހަރުން ދަށުގެ ހޭންޑްބޯޅަ ޓީމަށް ބްރޯންޒް މެޑަލް
Russia ge 30km ethereygai Ukrain sifain,ރަޝިޔާގެ 30 ކިލޯމީޓަރު އެތެރޭގައި ޔުކްރެއިން ސިފައިން
Luthufee Raajje vadaigathumun Passport hifahattai thahugeegu fashaifi,އޭސީސީގެ ކުރީގެ ރައީސް ލުތުފީ ރާއްޖެ ވަޑައިގަތުމުން ޕާސްޕޯޓް ހިފަހައްޓައި ތަހުގީގު ފަށައިފި
Meehegge firiakaa gulhun beyvvikan falhaa erumun Japan ge reetheege raanee thaaju dhookollaifi,މީހެއްގެ ފިރިއަކާ ގުޅުން ބޭއްވިކަން ފަޅާއެރުމުން ޖަޕާނުގެ ރީތީގެ ރާނީ ތާޖު ދޫކޮށްލައިފި
Netanyahu hayyaru kuran ICC in amuru nerefi,ނަތަންޔާހޫ ހައްޔަރުކުރަން ބައިނަލްއަގުވާމީ ޖިނާއީ ކޯޓުން އަމުރު ނެރެފި
Accident hingee driver ah kurimathivi sihhee kamakaa hedhi: VIA,އެކްސިޑެންޓު ހިނގީ ޑްރައިވަރަށް ކުރިމަތިވި ސިއްހީ ކަމަކާ ހެދި: ވީއައިއޭ
Vinares flat thakuge kuli kudakoh dheynan: Muizzu,ވިނަރެސް ފްލެޓްތަކުގެ ކުލި ކުޑަކޮށްދޭނަން: މުއިއްޒު
India kandah vettijje,އީލޮން މަސްކުގެ ސްޓާޝިޕް އިންޑިއާ ކަނޑަށް ވެއްޓިއްޖެ
Hulhumale gai Dive Center eh hadhan hulhuvaalaifi,ހުޅުމާލޭގައި ޑައިވް ސެންޓަރެއް ހަދަން ހުޅުވާލައިފި
Raajje ethere kuran ulhunu 15 kilo ge masthuvaa thakethi athulaigenfi,ވައިގެ މަގުން އެތެރެކުރި ރެކޯޑް އަދަދެއްގެ ޑްރަގް އަތުލައިގެންފި
Mahaz aai Azmiralda fandiyaarukamun vakikuran faas koffi,މަހާޒް އާއި އަޒްމިރަލްދާ ފަނޑިޔާރުކަމުން ވަކިކުރަން މަޖިލީހުން ފާސްކޮށްފި
Furathama 3 mahu Customs in 14 kilo ge masthuvaa thakethi athulaiganefi,ފުރަތަމަ ތިން މަހު ކަސްޓަމްސް އިން 14 ކިލޯގެ މަސްތުވާތަކެތި އަތުލައިގަނެފި
Rajjeygai air cargo aa behey gaumee dhiraasaa eh hadhanee,ރާއްޖޭގައި އެއާ ކާގޯއާ ބެހޭ ގައުމީ ދިރާސާއެއް ކުރަނީ
Eid aa dhimaa koh Maldivian in ithuru 30 flight,އީދާ ދިމާކޮށް މޯލްޑިވިއަން އިން އިތުރު 30 ފްލައިޓް
Sonee Sports in kuda kudhinge turf boot 200rf ah,ސޮނީ ސްޕޯޓްސްއިން ކުޑަކުދިންގެ ޓާފް ބޫޓު 200ރ. އަށް
Euro ge molhu kulhuntherin ge awardRodri aai Yamal ah,ޔޫރޯގެ މޮޅު ކުޅުންތެރިންގެ އެވޯޑް ރޮޑްރީ އާއި ޔަމާލަށް
Hajj khuthubaa gai govaalee mulhi Islamee ummathuge ebbavaintha kamah,ހައްޖު ޚުތުބާގައި ގޮވާލީ މުޅި އިސްލާމީ އުއްމަތުގެ އެއްބައިވަންތަކަމަށް
Addu equatorial Hospital ge jaaga ithuru kuran 7 bureege aa imaaraatheh alhanee,އައްޑޫ އިކުއަޓޯރިއަލް ހޮސްޕިޓަލްގެ ޖާގަ އިތުރުކުރަން ހަތް ބުރީގެ އާ އިމާރާތެއް އަޅަނީ
bandhah 5 dhuvas,"""ލެޓްސް ކޮފީ"" އަށް ވަދެ ގެއްލުން ދިން ދެ މީހުން ހައްޔަރުކޮށް، ބަންދަށް ފަސް ދުވަސް"
Housing finance libeyne bank thah Raajje ah beynun: Faisal Naseem,ހައުސިން ފައިނޭންސް ލިބޭނެ ބޭންކްތައް ރާއްޖެއަށް ބޭނުން: ނައިބު ރައީސް
Gavaidhaa hilaafah ulhunu 817 ah vuren gina bidheyseen furuvaalaifi,ގަވައިދާ ޚިލާފަށް އުޅުނު 800 އަށް ވުރެން ގިނަ ބިދޭސީން ފުރުވާލައިފި
Error: Request failed with status code 504 **********,"ID: 130652, Error: Request failed with status code 504 **********"
000 ah thiri kuran amaazu hifaifi,ތިން އަހަރު ތެރޭ ހައްޖުގެ އަގު 50،000ރ. އަށް ހެޔޮކުރަން އަމާޒު ހިފައިފި
Bangladesh ge muzaaharaa thakugai aniyaavi meehunnah faruvaa dhinumugai Dhivehi intern doctor in baiverivi,ބަންގްލަދޭޝްގެ މުޒާހަރާތަކުގައި އަނިޔާވި މީހުންނަށް ފަރުވާ ދިނުމުގައި ދިވެހި އިންޓާން ޑޮކްޓަރުން ބައިވެރިވަނީ
Trafic fuluheh ge gaiga Taxi akun jehi accident eh; driver hayyaru koffi,ޓްރެފިކް ފުލުހެއްގެ ގައިގައި ޓެކްސީއަކުން ޖެހި އެކްސިޑެންޓުވުމުން ޑްރައިވަރު ހައްޔަރުކޮށްފި
VAAHAKA: Aharen gelluvailee ahanneve,އަހަރެން ގެއްލުވައިލީ އަހަންނެވެ.
tharaggee kuran fashanee,ބޮޑުތަކުރުފާނު މަގު ފުޅާކޮށް، ތާރު އަޅައި ތަރައްގީ ކުރަން ފަށަނީ
FENAKA Saeed aai Ahmed Zahir bali koh Gahdhoo dhaairaa PNC ge Mohamed Ali ah,ފެނަކަ ސައީދާއި ޒާހިރު ބަލިކޮށް ގައްދޫ ދާއިރާ ޕީއެންސީގެ މުހައްމަދު އަލީ އަށް
Dhiraagu: Digital rajje egge huvafenugai kula jessi meysthirin,ދިރާގު: ޑިޖިޓަލް ރާއްޖެއެއްގެ ހުވަފެނުގައި ކުލަޖެއްސި މޭސްތިރިން
coalition aa medhu gotheh nunimman: Ilyas,ކާމީޔާބީ ޔަގީން، ކޯލިޝަނަށް ގޮތެއް ނުނިންމަން: އިލްޔާސް
Hindi film aai drama thakugai majaa role thah kulhunu Atul maruvejje,ހިންދީ ފިލްމާއި ޑްރާމާތަކުގައި މަޖާ ރޯލުތައް ކުޅުނު އަތުލް މަރުވެއްޖެ
dhifaau gai eyna ge anhenunu nukumejje,ޔުނައިޓެޑް ބަލިވުމުގެ ޒިންމާ ކަސެމީރޯ ބޮލަށް، ދިފާއުގައި އޭނާގެ އަންހެނުން ނުކުމެއްޖެ
000 avvure gina meehun queue  gai,އައިޖީއެމްއެޗުން ފަރުވާ ހޯދަން 10،000 އަށްވުރެ ގިނަ މީހުން
Error: Request failed with status code 504 **********,"ID: 130738, Error: Request failed with status code 504 **********"
Crunch and Fly ge namugai Pringles ge promotion eh fashaifi,"""ކްރަންޗް އެންޑް ފްލައި"" ގެ ނަމުގައި ޕްރިންގަލްސްގެ ޕްރޮމޯޝަނެއް"
Nadheem ge maru: Dhauvaa libey meehun bandhu nukuri massalaiga SC ah dhanee,ނަދީމްގެ މަރު: ދައުވާލިބޭ މީހުން ބަންދު ނުކުރި މައްސަލަ ސުޕްރީމް ކޯޓަށް
Vaahaka: Jadhalu,ޖަދަލު
200 ah vureh gina meehun loan ah edhefi,ހިޔާވެހި ސްކީމް: 2،200 އަށް ވުރެ ގިނަ މީހުން ލޯނަށް އެދެފި
ekamaku match kulheyne,ރެފްރީ މައްސަލައިގައި ރެއާލް ރަތަށް، އެކަމަކު މެޗު ކުޅޭނެ
Ishaan ge furathama Hollywood series Netflix ah,އިޝާންގެ ފުރަތަަމަ ހޮލީވުޑް ސީރީޒް ނެޓްފްލިކްސްއަށް
ACC ah ayyan kuraa 2 memberunah ruhun dheefi,އޭސީސީއަށް އައްޔަންކުރާ ދެ މެންބަރުންނަށް ރުހުން ދީފި
Anna aharu SAFF Championship onnaanee home and away usoolun,އަންނަ އަހަރު ސާފް ޗެމްޕިއަންޝިޕް އޮންނާނީ ހޯމް އެންޑް އަވޭ އުސޫލުން
North Kaafu zone ge final ah Oblu Select Sangeli aai Meeru Maldives,ނޯތު ކާފު ޒޯންގެ ފައިނަލަށް އޮބްލޫ ސިލެކްޓް ސަންގެލި އާއި މީރު މޯލްޑިވްސް
dheyn ulhenee adhabeh!,އެމްޑީޕީން ވަޒީރުންގެ ރުހުން ލަސްކޮށް، ކުރަނީ ޖެއްސުން، ދޭން އުޅެނީ އަދަބެއް!
Ithuru memberunnaa midhanee vaahaka dhakkamun: Raees,އިތުރު މެމްބަރުންނާ މިދަނީ ވާހަކަ ދައްކަމުން: ރައީސް
Vilimale gai 10 buri ah imaaraaiy kurumuge huddha dheefi,ވިލިމާލޭގައި 10 ބުރިއަށް އިމާރާތްކުރުމުގެ ހުއްދަ ދީފި
Minivan viyafaari egge medhugai fuluheh: Keevve?,މިނިވަން ވިޔަފާރިއެއްގެ މެދުގައި ފުލުހެއް: ކީއްވެ؟
mfaisa medhuverikoh fitr zakaiy dhekkeyne,އެމްފައިސާ މެދުވެރިކޮށް ފިތުރު ޒަކާތް ދެއްކޭނެ
Eyruge mashhooru cameraman ge fenun gelli hayaaiy andhirivee hama kulliakah!,އޭރުގެ މަޝްހޫރު ކެމެރާމަންގެ ފެނުން ގެއްލި ހަޔާތް އަނދިރިވީ ހަމަ ކުއްލިއަކަށް!
bulhaa facility ge net thah badhalu kuran fashaifi,ހުޅުވިތާ ގިނަ ދުވަސްތަކެއް ނުވެ ބުޅާ ފެސިލިޓީގެ ނެޓުތައް ބަދަލުކުރަން ފަށައިފި
VAAHAKA: Kalhu harufa,ކަޅު ހަރުފަ
World cup qualifying furathama match in Italy balivejje,ވޯލްޑް ކަޕް ކޮލިފައިން ފުރަތަމަ މެޗުން އިޓަލީ ބަލިވެއްޖެ
85 percentt geygeyah roadha mahu hiley kaadu foaru koddeefin: Shimaad,85 ޕަސެންޓް ގޭގެއަށް ރޯދަ މަހު ހިލޭ ކާޑު ފޯރުކޮށްދީފިން: އެސްޓީއޯ
Sarukaarun 64 billion rufiyaa ge Tbill vanee vikkaafai: World Bank,ސަރުކާރުން ވަނީ 64 ބިލިއަން ރުފިޔާގެ ޓީބިލް ވިއްކާފައި: ވޯލްޑް ބޭންކް
Falhu hikkaigen Mathiveri gai airport eh alhanee,ފަޅު ހިއްކައިގެން މަތިވެރީގައި އެއާޕޯޓެއް އަޅަނީ
